Movie,Userscore,Reviewer
maudie,9,TVJerry
baby-driver,9,MrMovieBuff
your-name,9,Iky009
the-big-sick,10,kristen58
your-name,10,Futuredirector
war-for-the-planet-of-the-apes,10,MrMovieBuff
war-for-the-planet-of-the-apes,9,DavidTejada
baby-driver,10,TVJerry
spider-man-homecoming,10,MonkiReviews
colossal,9,Futuredirector
norman-the-moderate-rise-and-tragic-fall-of-a-new-york-fixer,9,Futuredirector
war-for-the-planet-of-the-apes,9,TheQuietGamer
baby-driver,9,CineAutoctono
get-out,9,TheQuietGamer
baby-driver,9,DavidTejada
baby-driver,10,Futuredirector
kong-skull-island,9,TVJerry
the-lego-batman-movie,9,TheQuietGamer
the-lego-batman-movie,9,MrMovieBuff
the-lego-batman-movie,9,MonkiReviews
the-red-turtle,9,Futuredirector
la-la-land,10,Daniel17
paterson,9,TVJerry
logan-2017,10,Iky009
john-wick-chapter-2,9,TheQuietGamer
patriots-day,10,TVJerry
logan-2017,9,MrMovieBuff
get-out,9,CineAutoctono
a-monster-calls,9,DavidTejada
la-la-land,10,SEROJ
passengers-2016,9,MonkiReviews
hacksaw-ridge,10,SEROJ
get-out,10,Futuredirector
jackie,10,Futuredirector
wonder-woman,9,MrMovieBuff
wonder-woman,9,DavidTejada
hacksaw-ridge,9,homer4president
doctor-strange,9,MonkiReviews
loving,9,TVJerry
hacksaw-ridge,9,DavidTejada
moonlight-2016,9,TVJerry
deepwater-horizon,9,TVJerry
alien-covenant,9,TheQuietGamer
the-birth-of-a-nation,9,TVJerry
wonder-woman,9,TheQuietGamer
moonlight-2016,9,Iky009
arrival,9,homer4president
logan-2017,9,TheQuietGamer
hell-or-high-water,10,MrMovieBuff
doctor-strange,9,TheQuietGamer
wonder-woman,9,MonkiReviews
kubo-and-the-two-strings,9,TheQuietGamer
hell-or-high-water,9,EpicLadySponge
sherpa,9,EpicLadySponge
sully,10,Futuredirector
hell-or-high-water,9,TheQuietGamer
sully,9,MonkiReviews
arrival,9,Futuredirector
arrival,10,MrMovieBuff
kubo-and-the-two-strings,9,CineAutoctono
kubo-and-the-two-strings,9,Iky009
paths-of-the-soul,9,EpicLadySponge
jason-bourne,9,MonkiReviews
the-shallows,9,Futuredirector
warcraft,9,TheQuietGamer
april-and-the-extraordinary-world,9,EpicLadySponge
the-conjuring-2,9,TheQuietGamer
